Period	Start	End	Pay Date
1	2021/12/13	2021/12/26	2022/01/06
2	2021/12/27	2022/01/09	2022/01/20
3	2022/1/10	2022/1/23	2022/02/03
4	2022/1/24	2022/02/06	2022/02/17
5	2022/2/7	2022/2/20	2022/03/03
6	2022/2/21	2022/03/06	2022/03/17
7	2022/3/7	2022/3/20	2022/03/31
8	2022/3/21	2022/04/03	2022/04/14
9	2022/4/4	2022/4/17	2022/04/28
10	2022/4/18	2022/05/01	2022/05/12
11	2022/5/2	2022/5/15	2022/05/26
12	2022/5/16	2022/05/29	2022/06/09
13	2022/5/30	2022/6/12	2022/06/23
14	2022/6/13	2022/06/26	2022/07/07
15	2022/6/27	2022/7/10	2022/07/21
16	2022/7/11	2022/07/24	2022/08/04
17	2022/7/25	2022/8/7	2022/08/18
18	2022/8/8	2022/08/21	2022/09/01
19	2022/8/22	2022/9/4	2022/09/15
20	2022/9/5	2022/09/18	2022/09/29
21	2022/9/19	2022/10/2	2022/10/13
22	2022/10/3	2022/10/16	2022/10/27
23	2022/10/17	2022/10/30	2022/11/10
24	2022/10/31	2022/11/13	2022/11/24
25	2022/11/14	2022/11/27	2022/12/08
26	2022/11/28	2022/12/11	2022/12/22
